wid,word,image,practice,block,response_type,typing_rt,response,type_time,rt
w9e4dd03,eye,../static/stimuli/images/grocery/sun_aczzweebuokhxnbb.jpg,False,2,intrusion,6447.399999976158,mold,1366.7000000476837,7814.100000023842
w9e4dd03,computer,../static/stimuli/images/tower/sun_amsimjdbtzyefqbh.jpg,False,2,correct,1493.2999999523163,computer,1078.5,2571.7999999523163
w9e4dd03,bag,../static/stimuli/images/skiresort/sun_agpfoakkwrzedbll.jpg,False,2,correct,1823.1000000238419,bag,614.5,2437.600000023842
w9e4dd03,puzzle,../static/stimuli/images/airport/sun_akhqgzrrubgnwzpa.jpg,False,2,intrusion,10855.700000047684,van,1006.0,11861.700000047684
w9e4dd03,duck,../static/stimuli/images/kitchen/sun_aizcycyyvgfcdnzp.jpg,False,2,intrusion,7855.400000095367,yard,2302.399999976158,10157.800000071526
w9e4dd03,cake,../static/stimuli/images/ranch/sun_amqejeymhjlanyvr.jpg,True,2,intrusion,10095.399999976158,drink,966.3000000715256,11061.700000047684
w9e4dd03,flower,../static/stimuli/images/waterfall/sun_adtiwvbnsxsyohuw.jpg,False,2,other,10502.399999976158,roll,815.3999999761581,11317.799999952316
w9e4dd03,drink,../static/stimuli/images/pool/sun_aelfhlyhvuglfcha.jpg,False,2,intrusion,9663.599999904633,sold,4630.300000071526,14293.899999976158
w9e4dd03,egg,../static/stimuli/images/laundryroom/sun_amdxqjichaqshdel.jpg,True,2,intrusion,10719.699999928474,bond,1102.0,11821.699999928474
w9e4dd03,bread,../static/stimuli/images/subway/sun_amwmhabnpkxinmtz.jpg,False,2,intrusion,8044.300000071526,bird,1565.7999999523163,9610.100000023842
w9e4dd03,pig,../static/stimuli/images/gym/sun_awvqsdkrklypaaep.jpg,False,2,correct,1415.2000000476837,pig,702.6999999284744,2117.899999976158
w9e4dd03,nut,../static/stimuli/images/temple/sun_ahuwbjbhgegvnlsq.jpg,False,2,intrusion,2222.600000023842,goat,7006.599999904633,9229.199999928474
w9e4dd03,bed,../static/stimuli/images/underwater/sun_axctpftepdlenuoo.jpg,False,2,intrusion,4551.899999976158,lot,902.7000000476837,5454.600000023842
w9e4dd03,hat,../static/stimuli/images/computerroom/sun_akbfsjykwgllwszc.jpg,False,2,intrusion,2791.600000023842,lamb,5382.199999928474,8173.799999952316
w9e4dd03,lion,../static/stimuli/images/greenhouse/sun_bhxqibazllyrcpje.jpg,False,2,correct,1063.3000000715256,lion,1046.6000000238419,2109.9000000953674
w9e4dd03,bee,../static/stimuli/images/shoppingmall/sun_aqmgjlthiepxfbtd.jpg,False,2,intrusion,3439.5,car,5773.899999976158,9213.399999976158
w9e4dd03,rabbit,../static/stimuli/images/river/sun_aahjsajmsehqtuox.jpg,False,2,intrusion,7727.5,dart,886.4000000953674,8613.900000095367
w9e4dd03,ear,../static/stimuli/images/forest/sun_abvrazjxgpqhvszy.jpg,False,2,intrusion,8855.5,door,3798.1999999284744,12653.699999928474
w9e4dd03,truck,../static/stimuli/images/downtown/sun_axbzajoxhnjergfp.jpg,False,2,intrusion,4407.299999952316,car,2150.2000000476837,6557.5
