word,pRecall,Size,Animacy,nLet,nSyl,WFlog,CDlog,Prevalence,ONsize,AoA,Concreteness,NoF,BOI,Arousal,Valence,Dominance,Graspability,Pantomime,Action,Danger,Usefulness
BEAD,0.625,0.97752809,0.019354839,4,1,1.763427994,1.69019608,2.174048506,13,5.63,4.9,20,5.545454545,4.52,5.51,3.91,6.137931034,3.24137931,2.606060606,1.53125,2.866666667
BEAKER,0.62,0.883333333,0.024590164,6,2,1.361727836,1.230448921,2.096333335,6,11.25,4.72,NaN,5.416666667,4.86,5.26,6,5.931034483,3.827586207,2.454545455,1.96875,3.133333333
BEAN,0.645669291,0.96369637,0.367857143,4,1,2.544068044,2.344392274,2.439335856,15,3.42,5,19,NaN,4.39,5.63,5.6,NaN,NaN,NaN,NaN,NaN
BEAR,0.804878049,0.082706767,0.942307692,4,1,3.466719372,3.176380692,2.192639909,20,3.58,4.88,28,3.608695652,6.78,5.28,3.59,NaN,NaN,NaN,NaN,NaN
BEARD,0.719512195,0.8,0.093167702,5,1,2.808885867,2.602059991,2.443087356,3,4.84,4.96,13,5.565217391,4.97,5.11,5.42,NaN,NaN,NaN,NaN,NaN
BEAST,0.680851064,0.074468085,0.916201117,5,1,3.097951071,2.742725131,2.266699682,6,5.74,4.63,15,3.608695652,6.69,3.79,4.08,NaN,NaN,NaN,NaN,NaN
BEAVER,0.663366337,0.280555556,0.947990544,6,2,2.392696953,2.10720997,2.575829304,8,5.21,4.68,16,3.826086957,4.91,5.56,5.15,NaN,NaN,NaN,NaN,NaN
BED,0.714285714,0.14159292,0.072,3,1,3.979730431,3.614264287,2.345128928,18,2.89,5,11,6.36,3.05,6.91,6.73,NaN,NaN,NaN,NaN,NaN
BEDROOM,0.62195122,0.109677419,0.057142857,7,2,3.272537777,3.101747074,2.575829304,0,3.9,4.9,14,5.708333333,3.93,6.45,6.84,2.379310345,4.655172414,4.090909091,1.46875,3.866666667
BEE,0.757575758,0.91,0.875,3,1,2.723455672,2.396199347,2.332802059,18,5,4.88,7,4.130434783,6.32,4.32,5.32,NaN,NaN,NaN,NaN,NaN
BEEF,0.725806452,0.623655914,0.214765101,4,1,3.002597981,2.808885867,2.114829936,6,6.58,4.74,10,5.714285714,5.32,5.93,6.32,NaN,NaN,NaN,NaN,NaN
BEER,0.862068966,0.903409091,0.046979866,4,1,3.585573519,3.256717746,2.344725431,14,6.11,4.88,22,5.791666667,5.28,5.71,5.33,6.344827586,5.034482759,2.666666667,2.9375,3.3
BEET,0.707070707,0.963562753,0.5,4,1,1.176091259,1.146128036,1.806514644,11,6.56,4.8,NaN,5.32,4.42,4.55,NaN,NaN,NaN,NaN,NaN,NaN
BEETLE,0.706896552,0.93989071,0.862068966,6,2,2.025305865,1.763427994,2.170090378,0,5.32,4.83,4,5.166666667,5.51,4.15,5.93,NaN,NaN,NaN,NaN,NaN
BEGGAR,0.76,0.12345679,0.935483871,6,2,2.103803721,1.944482672,2.062947178,0,7.63,4.59,14,4.28,5.82,3.32,4.16,NaN,NaN,NaN,NaN,NaN
BELL,0.589041096,0.927152318,0.024390244,4,1,3.302547372,3.015359755,2.432683248,16,3.89,4.96,11,5.76,5.09,5.8,6.16,NaN,NaN,NaN,NaN,NaN
BELLY,0.677419355,0.447852761,0.284552846,5,2,2.900367129,2.765668555,2.575829304,14,4.05,4.8,12,5.846153846,4.9,4.83,4.96,NaN,NaN,NaN,NaN,NaN
BELT,0.771929825,0.947826087,0.046728972,4,1,3.094471129,2.923761961,2.575829304,12,4.62,4.9,11,5.80952381,4.81,5.04,5.75,NaN,NaN,NaN,NaN,NaN
BENCH,0.828571429,0.21875,0.043478261,5,1,2.693726949,2.53529412,2.575829304,6,4.21,4.87,14,6.166666667,4.06,5.46,5.81,NaN,NaN,NaN,NaN,NaN
BERRY,0.754901961,0.973333333,0.543589744,5,2,2.252853031,2,2.429897515,9,5.2093,4.93,NaN,5.523809524,4.4,6.82,NaN,NaN,NaN,NaN,NaN,NaN
BEVERAGE,0.7,0.897297297,0.025862069,8,3,2.079181246,2,2.442301136,1,6.63,4.6,NaN,6.208333333,4.54,6.52,6.58,NaN,NaN,NaN,NaN,NaN
BIBLE,0.758064516,0.881481481,0.047297297,5,2,2.971275849,2.716837723,2.441505434,0,4.95,4.61,8,5.826086957,4.23,4.8,5,NaN,NaN,NaN,NaN,NaN
BIKE,0.64,0.118644068,0.020618557,4,1,3.120902818,2.759667845,2.343914041,11,4.79,5,18,6.48,5.21,6.24,5.89,NaN,NaN,NaN,NaN,NaN
BILL,0.688172043,0.890756303,0.067307692,4,1,3.781180721,3.271609301,2.575829304,20,6.4242,4.68,NaN,5.111111111,5.75,3.9,4,NaN,NaN,NaN,NaN,NaN
BINDER,0.621359223,0.719844358,0.028455285,6,2,1.602059991,1.361727836,2.448578804,12,10.42,4.89,12,NaN,4.51,5.01,5.29,NaN,NaN,NaN,NaN,NaN
BIOLOGIST,0.730769231,0.057324841,0.966666667,9,4,1.812913357,1.707570176,2.427978434,0,10.9,3.96,NaN,4.48,5.12,5.93,5.85,NaN,NaN,NaN,NaN,NaN
BIRD,0.653333333,0.822580645,0.906417112,4,1,3.365300749,3.07809415,2.33590098,4,3.52,5,23,4.896551724,4.31,6.44,5.88,NaN,NaN,NaN,NaN,NaN
BISCUIT,0.645833333,0.943589744,0.06741573,7,2,2.283301229,2.06069784,2.575829304,0,4.63,4.9,22,5.964285714,4.17,6.28,6.26,NaN,NaN,NaN,NaN,NaN
BISON,0.736263736,0.052631579,0.956521739,5,2,1.255272505,1.041392685,2.146687334,1,8.11,4.68,10,3.434782609,5.03,5.55,NaN,NaN,NaN,NaN,NaN,NaN
BLACKBERRY,0.769230769,0.935114504,0.514423077,10,3,1.591064607,1.447158031,2.420838276,0,8.95,4.97,NaN,5.416666667,4.53,6.47,5.45,NaN,NaN,NaN,NaN,NaN
BLACKBOARD,0.627118644,0.173913043,0.051546392,10,2,1.785329835,1.662757832,2.435363235,0,5.42,4.72,9,5.392857143,4.64,5.16,6,NaN,NaN,NaN,NaN,NaN
BLADE,0.651162791,0.804511278,0.015873016,5,1,2.822168079,2.59439255,2.33414028,5,6.72,4.93,9,5.833333333,6.53,4.42,4.56,NaN,NaN,NaN,NaN,NaN
BLANKET,0.694117647,0.43575419,0.027586207,7,2,2.821513528,2.682145076,2.444121191,2,3.61,5,9,6.56,2.74,6.47,6.75,6.068965517,5.586206897,3.121212121,1.40625,4.733333333
BLENDER,0.631578947,0.466666667,0.053333333,7,2,1.934498451,1.77815125,2.437943455,7,6.84,5,17,5.739130435,5.16,5.53,5.53,4.689655172,4.53125,1.928571429,2.655172414,3.028571429
BLOCKADE,0.727272727,0.134453782,0.07826087,8,2,1.897627091,1.579783597,2.216772298,1,10.55,4.25,NaN,2.96,6.21,3.83,4.36,NaN,NaN,NaN,NaN,NaN
BLOSSOM,0.676056338,0.876470588,0.595375723,7,2,2.267171728,2.068185862,2.346330725,0,6.61,4.26,NaN,3.75,3.84,6.89,5.64,NaN,NaN,NaN,NaN,NaN
