wid,block,word,response_type,rt
w3e42178,1,fence,other,1632.2000000476837
w3e42178,1,snake,other,7101
w3e42178,1,bag,timeout,NA
w3e42178,1,computer,other,1234.5
w3e42178,1,rabbit,other,1348
w3e42178,1,bone,other,1126.9000000953674
w6673381,1,cat,correct,1647.5999999977648
w6673381,1,window,correct,2007.300000000745
w6673381,1,candle,correct,1791.5999999977648
w6673381,1,hay,intrusion,6463.800000000745
w6673381,1,potato,correct,1959.8999999985099
w6673381,1,puzzle,correct,1727.699999999255
w6673381,1,egg,correct,2743.7000000029802
w6673381,1,bear,timeout,NA
w6673381,1,rabbit,intrusion,7979
w6673381,1,apple,correct,7450.199999999255
w6673381,1,drink,intrusion,5997.5
w6673381,1,horse,correct,1816.5
w6673381,1,volcano,correct,1471.7000000029802
w6673381,1,lion,timeout,NA
w6673381,1,milk,correct,1903.3999999985099
w6673381,1,sand,intrusion,7745.89999999851
w6673381,1,heart,correct,2007.5999999977648
w6673381,1,jeans,intrusion,12272.699999999255
w6673381,1,fence,intrusion,3897.300000000745
w6673381,1,bread,other,4730.79999999702
w6673381,1,nut,intrusion,8601.10000000149
w6673381,1,ear,other,9651.79999999702
w6673381,1,duck,empty,7090.39999999851
w6673381,1,bag,correct,2719.89999999851
w6673381,1,door,empty,8874.900000002235
w6673381,1,bird,correct,8867
w6673381,1,cake,correct,7617.699999999255
w6673381,1,bone,intrusion,2815.89999999851
w6673381,1,snake,empty,2415.900000002235
w6673381,1,dog,correct,1279.5
w6673381,1,bee,intrusion,3918.800000000745
w6673381,1,hat,correct,6077.400000002235
w6673381,1,flower,intrusion,7301.29999999702
w6673381,1,toilet,correct,1159.5999999977648
w6673381,1,computer,empty,5243.199999999255
w6673381,1,bed,timeout,12505
w6673381,1,pig,empty,1807.6000000014901
w6673381,1,door,empty,1608.2000000029802
w6673381,1,cat,correct,1711.699999999255
w6673381,1,candle,correct,1152.199999999255
w6673381,1,horse,correct,1392.0999999977648
w6673381,1,bee,correct,2959.900000002235
w6673381,1,bear,other,3601.800000000745
w6673381,1,pig,empty,1423.6000000014901
w6673381,1,jeans,intrusion,2607.699999999255
w6673381,1,bird,correct,1648
w6673381,1,apple,correct,2367.900000002235
w6673381,1,ear,other,4555.699999999255
w6673381,1,heart,correct,1192
w6673381,1,nut,empty,2111.300000000745
w6673381,1,hay,empty,1863.8999999985099
w6673381,1,bread,other,1976
w6673381,1,bed,intrusion,3167.599999997765
w6673381,1,hat,correct,1207.5999999977648
w6673381,1,bag,correct,1327.800000000745
w6673381,1,computer,empty,1664.300000000745
w6673381,1,rabbit,empty,1103.6000000014901
w6673381,1,fence,empty,1328.0999999977648
w6673381,1,egg,correct,2231.900000002235
w6673381,1,lion,intrusion,1055.699999999255
w6673381,1,window,correct,4443.60000000149
w6673381,1,flower,empty,1047.5
w6673381,1,drink,empty,1863.9000000022352
w6673381,1,toilet,correct,1112.1000000014901
w6673381,1,potato,correct,1760.1000000014901
w6673381,1,milk,correct,2167.800000000745
w6673381,1,snake,empty,1495.5999999977648
w6673381,1,duck,empty,1759.5
w6673381,1,dog,correct,1095.300000000745
w6673381,1,sand,empty,1127.300000000745
w6673381,1,bone,empty,1224.1000000014901
w6673381,1,volcano,correct,1143.800000000745
w6673381,1,puzzle,correct,1656
w6673381,1,cake,correct,1743.300000000745
w9c366a3,1,window,intrusion,3688
w9c366a3,1,hay,intrusion,3088
w9c366a3,1,heart,other,4102
w9c366a3,1,pig,intrusion,4633
w9c366a3,1,bone,intrusion,4697
w9c366a3,1,fence,intrusion,3168
w9c366a3,1,truck,intrusion,5514
w9c366a3,1,egg,intrusion,5137
w9c366a3,1,horse,correct,2367
w9c366a3,1,lawn,intrusion,3224
w9c366a3,1,cat,other,3529
w9c366a3,1,bed,correct,2336
w9c366a3,1,drink,other,1792
w9c366a3,1,lion,other,4800
w9c366a3,1,hat,other,6281
w9c366a3,1,bread,intrusion,6062
w9c366a3,1,bee,intrusion,6489
w9c366a3,1,puzzle,intrusion,3056
w9c366a3,1,bear,other,3080
w9c366a3,1,computer,intrusion,3289
w9c366a3,1,rabbit,correct,7952
w9c366a3,1,duck,other,4921
w9c366a3,1,ear,correct,2657
w9c366a3,1,sand,intrusion,7602
w9c366a3,1,door,intrusion,7064
w9c366a3,1,jeans,intrusion,6969
w9c366a3,1,nut,intrusion,3888
w9c366a3,1,potato,intrusion,7313
w9c366a3,1,bird,other,2608
w9c366a3,1,bag,other,4144
w9c366a3,1,flower,correct,3223
w9c366a3,1,eye,intrusion,7959
w9c366a3,1,dog,intrusion,9745
w9c366a3,1,milk,other,7464
w9c366a3,1,snake,correct,4536
w9c366a3,1,cake,intrusion,3570
w9c366a3,1,candle,other,4193
w9c366a3,1,potato,intrusion,5521
w9c366a3,1,bee,other,4345
w9c366a3,1,drink,other,4609
w9c366a3,1,bone,intrusion,3601
w9c366a3,1,bear,intrusion,2057
w9c366a3,1,truck,other,2785
w9c366a3,1,rabbit,correct,1488
w9c366a3,1,candle,intrusion,3158
w9c366a3,1,eye,intrusion,1752
w9c366a3,1,flower,correct,1782
w9c366a3,1,horse,correct,2528
w9c366a3,1,computer,other,3776
w9c366a3,1,dog,intrusion,4907
w9c366a3,1,hat,intrusion,1761
w9c366a3,1,puzzle,intrusion,1953
w9c366a3,1,hay,other,2630
w9c366a3,1,bread,intrusion,3616
w9c366a3,1,lion,other,3858
w9c366a3,1,pig,intrusion,3271
w9c366a3,1,egg,other,2616
w9c366a3,1,milk,other,2352
w9c366a3,1,heart,intrusion,2767
w9c366a3,1,cat,other,5672
w9c366a3,1,ear,correct,2345
w9c366a3,1,bag,other,3474
w9c366a3,1,bed,correct,3089
w9c366a3,1,nut,intrusion,7530
w9c366a3,1,fence,intrusion,4601
w9c366a3,1,window,other,4745
w9c366a3,1,duck,other,7288
w9c366a3,1,jeans,other,3322
w9c366a3,1,sand,other,7736
w9c366a3,1,door,intrusion,4153
w9c366a3,1,bird,other,1818
w9c366a3,1,cake,intrusion,3080
w9c366a3,1,lawn,intrusion,6785
w9c366a3,1,snake,correct,2312
w7aeb23c,1,eye,intrusion,11681
w7aeb23c,1,potato,other,2432.699999809265
w7aeb23c,1,bear,intrusion,1731.5999994277954
w7aeb23c,1,bag,intrusion,1426.6000003814697
w7aeb23c,1,bread,intrusion,2757.8999996185303
w7aeb23c,1,drink,intrusion,4913.89999961853
w7aeb23c,1,computer,other,9884.199999809265
w7aeb23c,1,apple,correct,2382.7000007629395
w7aeb23c,1,nut,intrusion,3559.800000190735
w7aeb23c,1,dog,correct,1562
w7aeb23c,1,hat,intrusion,2403.199999809265
w7aeb23c,1,truck,intrusion,1822.3999996185303
w7aeb23c,1,cake,intrusion,1477.1000003814697
w7aeb23c,1,bone,other,3045.5999994277954
w7aeb23c,1,fence,intrusion,1483.8999996185303
w7aeb23c,1,bird,intrusion,1649.3999996185303
w7aeb23c,1,toilet,intrusion,1430.8000001907349
w7aeb23c,1,candle,intrusion,2096.800000190735
w7aeb23c,1,hay,intrusion,2346.0999994277954
w7aeb23c,1,jeans,other,2493
w7aeb23c,1,lion,correct,1873.1999998092651
w7aeb23c,1,window,intrusion,1745.9000005722046
w7aeb23c,1,rabbit,intrusion,1771.6000003814697
w7aeb23c,1,lawn,intrusion,1272.8999996185303
w7aeb23c,1,snake,correct,881.1000003814697
w7aeb23c,1,egg,intrusion,1391.0999994277954
w7aeb23c,1,pig,intrusion,1766.7999992370605
w7aeb23c,1,milk,correct,1886.7999992370605
w7aeb23c,1,sand,intrusion,2217.4000005722046
w7aeb23c,1,cat,intrusion,937.1999998092651
w7aeb23c,1,door,correct,1936.9000005722046
w7aeb23c,1,bed,correct,1207.6999998092651
w7aeb23c,1,puzzle,intrusion,1262.4000005722046
w7aeb23c,1,duck,intrusion,2067.8999996185303
w7aeb23c,1,ear,intrusion,1693.9000005722046
w7aeb23c,1,volcano,correct,1347.3999996185303
w7aeb23c,1,horse,intrusion,1318
w7aeb23c,1,pig,intrusion,1243
w7aeb23c,1,window,intrusion,1403.2000007629395
w7aeb23c,1,sand,intrusion,1141.4000005722046
w7aeb23c,1,cake,intrusion,7344.5
w7aeb23c,1,drink,intrusion,2197.699999809265
w7aeb23c,1,cat,correct,1731.7000007629395
w7aeb23c,1,volcano,correct,977.6999998092651
w7aeb23c,1,duck,intrusion,2928.199999809265
w7aeb23c,1,toilet,intrusion,1234.5
w7aeb23c,1,dog,intrusion,1081.8000001907349
w7aeb23c,1,truck,intrusion,3706.199999809265
w7aeb23c,1,bear,intrusion,1425.2000007629395
w7aeb23c,1,apple,correct,960.0999994277954
w7aeb23c,1,puzzle,intrusion,1536.8000001907349
w7aeb23c,1,rabbit,intrusion,3357.699999809265
w7aeb23c,1,jeans,intrusion,1065
w7aeb23c,1,hat,intrusion,1153.7999992370605
w7aeb23c,1,snake,correct,894.4000005722046
w7aeb23c,1,door,correct,1118.8999996185303
w7aeb23c,1,bread,intrusion,1248
w7aeb23c,1,bone,intrusion,2993.199999809265
w7aeb23c,1,milk,correct,1440
w7aeb23c,1,eye,intrusion,2618.0999994277954
w7aeb23c,1,potato,intrusion,1821.1000003814697
