wid,word,image,practice,block,rt,typing_rt,response,type_time,response_type
wca3807d,tractor,../static/stimuli/images/windmill/sun_adstnygbbvkhooog.jpg,False,1,1,7262,farm,7260.700000047684,other
wca3807d,stairs,../static/stimuli/images/ranch/sun_airsfxbouimobamd.jpg,False,1,0,3775,octopus,3774.2000000476837,other
wca3807d,permit,../static/stimuli/images/temple/sun_aeurbzlgbulzilum.jpg,False,1,1,10205,license,10204.200000047684,other
wca3807d,tulip,../static/stimuli/images/theater/sun_ahtaknlqeslujgbq.jpg,False,1,1,2973,tulip,2972.0,correct
wca3807d,refrigerator,../static/stimuli/images/vineyard/sun_amazvkispkonazvz.jpg,False,1,1,5749,refrigerator,5748.199999988079,correct
wca3807d,octopus,../static/stimuli/images/forest/sun_avyyymflzsdrwgbe.jpg,False,1,1,3518,octopus,3517.599999964237,correct
wca3807d,stranger,../static/stimuli/images/auditorium/sun_ahxfbcfdtvgnrivf.jpg,False,1,1,2286,stranger,2284.399999976158,correct
wca3807d,frog,../static/stimuli/images/bookstore/sun_azkcgugtqfaunxwq.jpg,False,1,1,10628,book,10626.5,other
wca3807d,personnel,../static/stimuli/images/computerroom/sun_ajcvdokgzllibdsg.jpg,False,1,1,8605,staff,8603.900000035763,other
wca3807d,community,../static/stimuli/images/pool/sun_antxeexzhaspkvlj.jpg,False,1,1,2653,community,2651.699999988079,correct
wca3807d,cauliflower,../static/stimuli/images/river/sun_advruofhmqeyqmbx.jpg,False,1,1,5542,rose,5540.900000035763,other
wca3807d,ozone,../static/stimuli/images/gym/sun_akhyzejtqpynaepu.jpg,False,1,1,2141,ozone,2140.0,correct
wca3807d,neck,../static/stimuli/images/grocery/sun_atlvleypygwzuszx.jpg,False,1,1,2557,beard,2556.199999988079,other
wca3807d,tomato,../static/stimuli/images/greenhouse/sun_aqkjiolbtywtaxak.jpg,False,1,1,2166,tomato,2164.899999976158,correct
wca3807d,territory,../static/stimuli/images/campsite/sun_asbhlaoploqpjahx.jpg,False,1,1,4630,outdoor,4629.300000011921,other
wca3807d,mister,../static/stimuli/images/roof/sun_airvzklrdchyytiu.jpg,False,1,1,6566,yellow,6565.0,other
wca3807d,barracuda,../static/stimuli/images/footballfield/sun_afuzusgbewygvixv.jpg,False,1,1,5390,yellow,5388.700000047684,other
wca3807d,pizza,../static/stimuli/images/downtown/sun_acbmuljpyqdcboxt.jpg,False,1,1,2733,pizza,2732.399999976158,correct
wca3807d,quill,../static/stimuli/images/tenniscourt/sun_ajmzjgescxgcfhdp.jpg,False,1,2,3950,yellow,3948.2000000476837,other
