strength_first,strength_second,presentation_times,outcome,duration_first,duration_second
0.4229058434827571,0.2953504197107074,"[500, 3750]",2,500,3750
0.017634906659072858,0.16887703653798009,[15000],-1,15000,0
0.2263940662972402,0.15374673072443504,"[1250, 250, 6000]",1,7250,250
0.1524366409960664,0.12393040757901864,[6250],1,6250,0
0.22632294364605166,0.24465390100398854,[4000],1,4000,0
0.23580499198325,0.051452201202392654,"[250, 14750]",-1,250,14750
0.1891481408840296,0.4515641088617403,"[500, 750, 5500]",1,6000,750
0.19479928082475817,0.3389723908870253,"[1500, 250, 500, 2500]",2,2000,2750
0.2296449417927135,0.32848482560815334,[6000],1,6000,0
0.1771364986679415,0.4185261500374135,[9250],1,9250,0
0.10314036410082368,0.09749155991744257,"[750, 750, 10250]",1,11000,750
0.1560157389858286,0.09355644120107037,[7000],1,7000,0
0.5394882840022689,0.053808777473102025,[2250],1,2250,0
0.32754829173284344,0.39987460766266264,[3750],1,3750,0
0.029518053218158626,0.11465192933734121,"[1500, 13000]",2,1500,13000
0.11536552636236419,0.12565536715960135,"[250, 8500]",2,250,8500
0.4437224803503505,0.24679240389409568,[2500],1,2500,0
0.11993405854207284,0.1417255380836301,"[750, 250, 2250, 11250]",2,3000,11500
0.35950312357570324,0.0762111644217573,"[500, 14500]",-1,500,14500
0.1608285333566426,0.1590985973289702,[8750],1,8750,0
0.20124274740658607,0.26842312211053515,"[250, 1250, 750, 3250]",2,1000,4500
0.1435205820742975,0.05901770160458338,"[1500, 500, 1250, 3500, 500, 500, 1000, 1500, 4000]",1,8250,6000
0.6098423194702581,0.6281112372475207,[2250],1,2250,0
0.5781664376433368,0.21781146130642765,"[1500, 1250, 1000]",1,2500,1250
0.2856788496184208,0.36016349063029546,"[750, 3000]",2,750,3000
0.08173113682047801,0.13439089601116194,"[1000, 1000, 13000]",-1,14000,1000
0.1637351115267287,0.2055432459006528,"[250, 4250]",2,250,4250
0.28736083554878983,0.3493798068349455,"[1250, 750, 2250]",1,3500,750
0.16168732785297388,0.06996303590640265,"[1500, 13500]",-1,1500,13500
0.15614538039640777,0.2565671830506236,"[750, 1000, 5500]",1,6250,1000
0.0788840623305071,0.1778083563801033,[15000],-1,15000,0
0.25961558000975865,0.2801273319603803,"[750, 6250]",2,750,6250
0.1263596825531224,0.19461365041815637,"[250, 5750]",2,250,5750
0.12112059202566337,0.2961696486348061,"[250, 4000]",2,250,4000
0.2388732845575556,0.2660190237596475,[4250],1,4250,0
0.30137615149927427,0.3479803148835611,"[1000, 500, 3000]",1,4000,500
0.23321641298814919,0.13735982815121772,"[1250, 8250]",2,1250,8250
0.5322917461084189,0.43676658398562057,"[1000, 2750]",2,1000,2750
0.3052794223026813,0.2748771558148497,[4250],1,4250,0
0.18636624771544302,0.17318692728175641,"[1750, 2250, 5000]",1,6750,2250
0.3872988280728018,0.14555120673114258,"[250, 750, 1250, 2500, 500, 1000, 1250]",1,3250,4250
0.13398223334974485,0.5968268809335103,"[2250, 750, 250, 1500]",2,2500,2250
0.20539719321359617,0.052463519828108186,[6750],1,6750,0
0.1368016316633627,0.19614490228008621,[5750],1,5750,0
0.17537127378763678,0.09456330255666645,"[750, 11250]",2,750,11250
0.05438738853585058,0.2139924988485127,[15000],-1,15000,0
0.38151234543348783,0.2534730276682624,"[750, 4250]",2,750,4250
0.359567969063712,0.3081187981855002,"[500, 4750]",2,500,4750
0.124034710532423,0.12798502673950676,[7750],1,7750,0
0.35605449555204044,0.16970599584645146,[4250],1,4250,0
0.11276300965545308,0.3626472882249553,[10250],1,10250,0
0.424618155508745,0.24252936996876936,[3000],1,3000,0
0.2484970522000244,0.29078833155056766,"[750, 1750, 6500]",1,7250,1750
0.17147186088252225,0.3848918587745992,"[250, 3000]",2,250,3000
0.5110071761742717,0.2712732051717853,[2250],1,2250,0
0.3573519603439396,0.2573266416297789,[3000],1,3000,0
0.23279746404829665,0.14782027095596104,"[250, 10000]",2,250,10000
0.22949490615943346,0.2691938803171676,[5750],1,5750,0
0.14783463414983666,0.13676514075052804,"[250, 10500]",2,250,10500
0.5052051007841387,0.15446498530492794,"[1000, 500, 1000, 11000]",2,2000,11500
0.021407427947364624,0.09757853441408153,"[2750, 12250]",-1,2750,12250
0.46338242454004186,0.39867706992327767,"[1000, 3250]",2,1000,3250
0.49492450239258184,0.35383887419505167,[2750],1,2750,0
0.3480344321279444,0.14093479280074536,[4750],1,4750,0
0.24903460395708218,0.25202291005475475,[4750],1,4750,0
0.16125489176862717,0.3615046800931537,"[1250, 1250, 6500]",1,7750,1250
0.4069424350063183,0.35647552748734046,[2750],1,2750,0
0.6041468689389664,0.20334111914203282,[2250],1,2250,0
0.17580646136005335,0.3432091203283464,[7250],1,7250,0
0.48942042502661603,0.12849188876373294,"[250, 750, 1750, 500, 500]",1,2500,1250
0.12001539635807537,0.33453083564901903,[12250],1,12250,0
0.33838172733441235,0.3020401681542817,[3750],1,3750,0
0.2608660887593981,0.20606854931283916,"[500, 5250]",2,500,5250
0.4710088375787977,0.3588978222811032,[3750],1,3750,0
0.22848202042071064,0.3091196268154231,"[750, 4000]",2,750,4000
0.47907254411827926,0.3225190025933105,[3250],1,3250,0
0.2548777360905004,0.42260425001333846,"[250, 2750]",2,250,2750
0.1928680232606551,0.2538777676854032,"[1000, 500, 3500]",1,4500,500
0.03035720556075912,0.34641731917431784,[15000],-1,15000,0
0.2846489517887761,0.1493670151991663,"[1000, 9500]",2,1000,9500
0.09570411600195919,0.3024433696759393,"[750, 5500]",2,750,5500
0.18573238078356497,0.1171730344192164,"[250, 750, 5000]",1,5250,750
0.37632232633867785,0.021733133048806374,[3750],1,3750,0
0.4519058343243104,0.10986786940801525,[2750],1,2750,0
0.3201652238629965,0.3094938383846947,"[1250, 4500]",2,1250,4500
0.42938837465637847,0.13216073097155875,"[1250, 250, 1500]",1,2750,250
0.21649691252552986,0.39443167471338847,"[1000, 1500, 3250]",1,4250,1500
0.18169070098803386,0.12266940581851335,[9000],1,9000,0
0.40510770610549957,0.10025281693134885,[3250],1,3250,0
0.30908765089546936,0.028010324380704624,[4500],1,4500,0
0.13477468102173062,0.2031247596373366,[10750],1,10750,0
0.20988631257573878,0.5373694625521797,"[250, 2000]",2,250,2000
0.38737989693040076,0.1864272418132784,[3000],1,3000,0
0.3652672444832169,0.5817492720423831,"[250, 2000]",2,250,2000
0.1588312766366224,0.16673888404331433,[8500],1,8500,0
0.20187196068853097,0.16488802065038094,"[500, 250, 1500, 250, 4500]",1,6500,500
0.3978866508070443,0.34872953699298603,[4500],1,4500,0
0.11786862614232986,0.06493363731716174,"[250, 14750]",-1,250,14750
0.19804369880976813,0.3202615967307265,[4250],1,4250,0
0.32015704118711263,0.17554670042685153,"[750, 9250]",2,750,9250
0.26673477994868616,0.3528612773373349,"[500, 3250]",2,500,3250
0.4415928759656688,0.3497663113500471,"[1250, 2750]",2,1250,2750
0.17792267097813505,0.20630806214766492,"[250, 6500]",2,250,6500
0.47366561422492137,0.2505296837413014,"[1000, 1750, 250, 250, 2000]",1,3250,2000
0.23270561125400807,0.04816114015093836,"[750, 500, 500, 13250]",-1,1250,13750
0.42230560737316747,0.03807135351119521,"[750, 14250]",-1,750,14250
0.07952007380040126,0.14578951786513217,"[500, 8750]",2,500,8750
0.2685475339551814,0.10962867090867504,[5500],1,5500,0
0.48067513523859157,0.23368378481308813,"[1000, 250, 1250]",1,2250,250
0.23998844826567875,0.24604682284103968,"[2500, 1500, 250, 750, 1250]",1,4000,2250
0.18928928938356462,0.01415521555495154,"[250, 14750]",-1,250,14750
0.14130093574975794,0.44399566103154886,"[250, 1500, 750, 250, 500, 500, 1250, 250]",2,2750,2500
0.2039198092468244,0.16371467162689793,"[250, 2250, 7500]",1,7750,2250
0.14624394144648187,0.4409682412821843,"[750, 250, 11250]",1,12000,250
0.1286061742173424,0.03856173897889236,"[750, 250, 250, 13750]",-1,1000,14000
0.2935872452752412,0.12586065190535276,"[500, 8750]",2,500,8750
0.10716135592802128,0.2156209445907564,[11000],1,11000,0
0.12823261843500397,0.12166725089294811,"[1250, 500, 9250]",1,10500,500
0.19337517047404137,0.023544648430295224,[5500],1,5500,0
0.10262476015615321,0.27691075902749857,[15000],-1,15000,0
0.29118665131737187,0.2417482897134305,[6250],1,6250,0
0.2569789666740678,0.18292358256550934,"[250, 7000]",2,250,7000
0.576893182488379,0.33918088038679567,"[1750, 3500]",2,1750,3500
0.10592168214538235,0.007934387270343084,"[250, 500, 9500]",1,9750,500
0.2602125170997688,0.13818528020858917,[4000],1,4000,0
0.34914393690429363,0.2023225115005336,[2500],1,2500,0
0.5251977383641684,0.5597919604887216,[2000],1,2000,0
0.1238181093050403,0.16733539562953392,[10500],1,10500,0
0.11712040321041894,0.4384591463757109,"[500, 2750]",2,500,2750
0.04787760543231988,0.25409057607750213,"[750, 1000, 750, 500, 12000]",-1,13500,1500
0.09596127358638143,0.2684566845522366,[11750],1,11750,0
0.372078171873085,0.18483589762648617,[3750],1,3750,0
0.11925863124683725,0.20444426727022716,"[500, 250, 12000]",1,12500,250
0.09832449458871644,0.17952787208857277,"[1250, 5500]",2,1250,5500
0.3075603465570001,0.6032444933236459,[3500],1,3500,0
0.1597616069493147,0.1121607239665095,"[750, 2500, 10500]",1,11250,2500
0.22591934342693124,0.5298124740529028,"[1750, 2500]",2,1750,2500
0.6302092094170663,0.1885457110733697,"[1000, 7750]",2,1000,7750
0.4085711737085656,0.3201764172646879,"[250, 4250]",2,250,4250
0.37972239821706916,0.1297832889968159,[3500],1,3500,0
0.21305363922792422,0.18611855573938751,"[750, 7250]",2,750,7250
0.3528672290245481,0.12768312424472314,"[750, 9250]",2,750,9250
0.1470052345460219,0.19047671188529058,[11250],1,11250,0
0.18925172429426784,0.29783771995986297,[5750],1,5750,0
0.3040438987759129,0.17947218134143766,[4500],1,4500,0
0.3024627026005744,0.4698960646711709,"[750, 250, 4000]",1,4750,250
0.0698629632553193,0.13570278110739736,[14000],1,14000,0
