wid,word,image,pratice,word_type,rt,response,type_time,response_type,typing_rt
w0d1da6b,keeper,../static/stimuli/images/pool/sun_abmafiafisngvteo.jpg,False,low,3,prevent,6504.9700000000885,other,5657.0
w0d1da6b,critic,../static/stimuli/images/garage/sun_djtxkmtcichrbudp.jpg,False,low,2,critic,2493.3899999999558,correct,1848.0
w0d1da6b,stable,../static/stimuli/images/computerroom/sun_atznfxhjiiugbvxi.jpg,False,low,2,stable,4038.3699999999953,correct,1660.0
w63cb8b3,carrot,../static/stimuli/images/river/sun_abktmmreusnujejq.jpg,True,high,2,carrot,4320.334999996703,correct,3613.0
w63cb8b3,jeans,../static/stimuli/images/railway/sun_azmvasvseueupvyd.jpg,False,high,1,jeans,2278.3700000145473,correct,1818.0
w63cb8b3,baby,../static/stimuli/images/forest/sun_abvrazjxgpqhvszy.jpg,False,high,1,baby,1743.5150000092108,correct,1270.0
w63cb8b3,goddess,../static/stimuli/images/computerroom/sun_akcjvpjqukkdanyo.jpg,False,low,1,goddess,2047.0749999803957,correct,1190.0
w63cb8b3,stranger,../static/stimuli/images/musuem/sun_axbkhklgdaevqxyj.jpg,False,low,1,stranger,2009.3800000031479,correct,1249.0
w63cb8b3,consumer,../static/stimuli/images/campsite/sun_agjhcohmxuuaimig.jpg,False,low,1,consumer,3650.519999995595,correct,1162.0
w63cb8b3,tread,../static/stimuli/images/beach/sun_abylvpgvhrpaxgnk.jpg,False,low,1,tread,1671.089999988908,correct,1216.0
w63cb8b3,community,../static/stimuli/images/castle/sun_apbjjqvsvrybtdua.jpg,False,low,1,grovel,8125.620000006165,other,7398.0
w63cb8b3,banana,../static/stimuli/images/airport/sun_aqytxlpqgdgggfum.jpg,False,high,1,banana,2344.184999994468,correct,1755.0
w63cb8b3,tart,../static/stimuli/images/auditorium/sun_ahxfbcfdtvgnrivf.jpg,False,low,1,tart,3190.8650000113994,correct,2816.0
w63cb8b3,octopus,../static/stimuli/images/downtown/sun_axbzajoxhnjergfp.jpg,False,high,1,octopus,3178.459999995539,correct,1801.0
w63cb8b3,barracuda,../static/stimuli/images/greenhouse/sun_apjhtwdcpezmnlze.jpg,False,high,1,baracus,8773.695000010775,other,7803.0
