wid,word,image,practice,block,prime,prime_related,typing_rt,response,type_time,rt,response_type
w5308ad9,milk,../static/stimuli/images/roof/sun_awskptrfuzjyjwes.jpg,False,-1,True,False,2838.60000000149,bird,939.5,3778.10000000149,other
w5308ad9,potato,../static/stimuli/images/kitchen/sun_aizcycyyvgfcdnzp.jpg,False,-1,True,False,3901.099999997765,,0.0,3901.099999997765,empty
w5308ad9,apple,../static/stimuli/images/grocery/sun_akqpikmgyzrpoilg.jpg,False,-1,True,True,1826.1000000014901,apple,1425.800000000745,3251.900000002235,correct
w5308ad9,nut,../static/stimuli/images/street/sun_amjwoyuxrszlicsb.jpg,False,-1,True,False,2092.900000002235,,0.0,2092.900000002235,empty
w5308ad9,bone,../static/stimuli/images/warehouse/sun_abdmrgvlsfpsgxyu.jpg,False,-1,True,False,2261.900000002235,egg,1913.8999999985099,4175.800000000745,other
w5308ad9,computer,../static/stimuli/images/bookstore/sun_auwghripdoxzluuk.jpg,False,-1,True,True,2040.0,computer,2642.699999999255,4682.699999999255,correct
w5308ad9,bee,../static/stimuli/images/ranch/sun_ajxvkybqisznlxgg.jpg,False,-1,True,True,9932.10000000149,do,877.8999999985099,10810.0,empty
w5308ad9,ear,../static/stimuli/images/volcano/sun_abmqyijpgbakeqkm.jpg,False,-1,True,True,2597.0,ear,966.6999999992549,3563.699999999255,intrusion
w5308ad9,snake,../static/stimuli/images/vineyard/sun_agfdrmftdzokxtnc.jpg,False,-1,True,False,2285.0,snake,2603.699999999255,4888.699999999255,correct
w5308ad9,jeans,../static/stimuli/images/airport/sun_aqogketumcqznmzs.jpg,False,-1,True,True,2126.0,jeans,2122.400000002235,4248.400000002235,correct
w5308ad9,rabbit,../static/stimuli/images/shoppingmall/sun_abmhoudmvlbwstuf.jpg,False,-1,True,True,2062.300000000745,rabbit,2339.5,4401.800000000745,correct
w5308ad9,duck,../static/stimuli/images/downtown/sun_bzwgvgvsqqpbjfwc.jpg,False,-1,True,False,2195.2999999970198,quick,1942.5,4137.79999999702,intrusion
w5308ad9,sand,../static/stimuli/images/house/sun_afejjgypgnszvwza.jpg,False,-1,True,False,2500.099999997765,,0.0,2500.099999997765,empty
w5308ad9,door,../static/stimuli/images/waterfall/sun_amyxrbqiudksvqun.jpg,False,-1,True,False,2522.300000000745,door,1551.7999999970198,4074.099999997765,intrusion
w5308ad9,volcano,../static/stimuli/images/sky/sun_abbtimwgskvvaeps.jpg,False,-1,True,True,1491.1000000014901,volcano,2650.599999997765,4141.699999999255,correct
